DATE,POS,NAME,TEAM,H/A,OPP,FANDUEL_REB_LINE,FANDUEL_REBUNDER,FANDUEL_REBOVER,ACTUAL,D_PPG,D_EFF,D_FL_%,D_FB_PPG,D_FB_EFF,D_2PTS,D_3PTS
12/6/2024,C,Domantas Sabonis,Kings,@,Spurs,13.5,-134,110,TBD,,,,,,,
12/6/2024,C,Andre Drummond,76ers,vs,Magic,12.5,-122,-108,TBD,,,,,,,
12/6/2024,C,Anthony Davis,Lakers,@,Hawks,11.5,-132,100,TBD,,,,,,,
12/6/2024,C,Rudy Gobert,Timberwolves,@,Warriors,11.5,-104,-118,TBD,,,,,,,
12/6/2024,F,Giannis Antetokounmpo,Bucks,@,Celtics,10.5,-104,-128,TBD,,,,,,,
12/6/2024,C,Deandre Ayton,Blazers,vs,Jazz,10.5,-130,106,TBD,,,,,,,
12/6/2024,C,Clint Capela,Hawks,vs,Lakers,10.5,-112,-118,TBD,,,,,,,
12/6/2024,F,LeBron James,Lakers,@,Hawks,10.5,-132,100,TBD,,,,,,,
12/6/2024,F,Jalen Johnson,Hawks,vs,Lakers,9.5,104,-138,TBD,,,,,,,
12/6/2024,C,Walker Kessler,Jazz,@,Blazers,10.5,-122,100,TBD,,,,,,,
12/6/2024,C,Nikola Vucevic,Bulls,vs,Pacers,10.5,-124,102,TBD,,,,,,,
12/6/2024,F,John Collins,Jazz,@,Blazers,8.5,-105,-115,TBD,,,,,,,
12/6/2024,F,Wendell Carter,Magic,@,76ers,8.5,-152,114,TBD,,,,,,,
12/6/2024,F,Jayson Tatum,Celtics,vs,Bucks,8.5,-146,110,TBD,,,,,,,
12/6/2024,C,Myles Turner,Pacers,@,Bulls,7.5,104,-128,TBD,,,,,,,
12/6/2024,F,Keegan Murray,Kings,@,Spurs,6.5,110,-134,TBD,,,,,,,
12/6/2024,F,Pascal Siakam,Pacers,@,Bulls,7.5,-144,118,TBD,,,,,,,
12/6/2024,C,Goga Bitadze,Magic,@,76ers,6.5,-104,-128,TBD,,,,,,,
12/6/2024,F,Paul George,76ers,vs,Magic,6.5,-136,102,TBD,,,,,,,
12/6/2024,G,Josh Giddey,Bulls,vs,Pacers,6.5,-144,118,TBD,,,,,,,
12/6/2024,F,Draymond Green,Warriors,vs,Timberwolves,6.5,-134,110,TBD,,,,,,,
12/6/2024,F,Lauri Markkanen,Jazz,@,Blazers,6.5,-102,-120,TBD,,,,,,,
12/6/2024,F,Bennedict Mathurin,Pacers,@,Bulls,6.5,-132,108,TBD,,,,,,,
12/6/2024,F,Julius Randle,Timberwolves,@,Warriors,6.5,-122,100,TBD,,,,,,,
12/6/2024,F,Guerschon Yabusele,76ers,vs,Magic,6.5,-132,100,TBD,,,,,,,
12/6/2024,F,Julian Champagnie,Spurs,vs,Kings,4.5,118,-144,TBD,,,,,,,
12/6/2024,C,Zach Collins,Spurs,vs,Kings,5.5,-110,-110,TBD,,,,,,,
12/6/2024,G,Anthony Edwards,Timberwolves,@,Warriors,5.5,-142,116,TBD,,,,,,,
12/6/2024,G,De'Aaron Fox,Kings,@,Spurs,5.5,-150,122,TBD,,,,,,,
12/6/2024,F,Rui Hachimura,Lakers,@,Hawks,5.5,-140,106,TBD,,,,,,,
12/6/2024,G,Brandin Podziemski,Warriors,vs,Timberwolves,5.5,-128,104,TBD,,,,,,,
12/6/2024,F,Harrison Barnes,Spurs,vs,Kings,3.5,132,-162,TBD,,,,,,,
12/6/2024,F,Jaylen Brown,Celtics,vs,Bucks,4.5,118,-158,TBD,,,,,,,
12/6/2024,F,Toumani Camara,Blazers,vs,Jazz,4.5,104,-128,TBD,,,,,,,
12/6/2024,G,Stephen Curry,Warriors,vs,Timberwolves,4.5,-132,108,TBD,,,,,,,
12/6/2024,F,DeMar DeRozan,Kings,@,Spurs,4.5,-152,124,TBD,,,,,,,
12/6/2024,G,Tyrese Haliburton,Pacers,@,Bulls,3.5,102,-124,TBD,,,,,,,
12/6/2024,C,Al Horford,Celtics,vs,Bucks,4.5,-118,-112,TBD,,,,,,,
12/6/2024,F,Zach LaVine,Bulls,vs,Pacers,4.5,-168,136,TBD,,,,,,,
12/6/2024,C,Brook Lopez,Bucks,@,Celtics,4.5,-112,-118,TBD,,,,,,,
12/6/2024,G,Shaedon Sharpe,Blazers,vs,Jazz,3.5,116,-142,TBD,,,,,,,
12/6/2024,G,Stephon Castle,Spurs,vs,Kings,3.5,-144,118,TBD,,,,,,,
12/6/2024,F,Ayo Dosunmu,Bulls,vs,Pacers,3.5,-144,118,TBD,,,,,,,
12/6/2024,F,Jerami Grant,Blazers,vs,Jazz,3.5,-162,132,TBD,,,,,,,
12/6/2024,F,Jaden McDaniels,Timberwolves,@,Warriors,3.5,-110,-110,TBD,,,,,,,
12/6/2024,G,Malik Monk,Kings,@,Spurs,3.5,-110,-110,TBD,,,,,,,
12/6/2024,G,Chris Paul,Spurs,vs,Kings,3.5,102,-124,TBD,,,,,,,
12/6/2024,F,Franz Wagner,Magic,@,76ers,3.5,118,-158,TBD,,,,,,,
12/6/2024,G,Coby White,Bulls,vs,Pacers,3.5,-144,118,TBD,,,,,,,
